010000600403128041120221100912212091835000700003610920232      1  1200001A    100000000000000101200002        00036768401202302800
01000061050323901072022104931140036191960040000142       0720251  1200001A    1000000000000002       2        00038554301202302800
01000062040216004072023210141250010183500170000512       0520241  1500001AC   070000030000000100200002        00037780281202302800
01000063040313801022020408521121388193230040000432       8888881   900005A    1000000000000002       2        00039484271202302800
01000064020323302022023104421123524191960025000552       0220251   300005A    1000000000000002       10003000000045728831202302800
01000064030323102022023104421123524191960025000552       0220251   300005A    1000000000000002       10003000000045728831202302800
01000065030323301032020110521121348193250040000422       0320241   600005A    1000000000000002       2        00043517451202302800
01000066090323801032020404911121160191960032000422       0320251   900005A    1000000000000002       2        00040328551202302800
01000067030322602092023309921121124191960030000152       0920252                             2       2        00042624791202302800
01000068810816301082023202616 500882             2       8888882                             2       2        0004004605 202302800
01000068820826201062023202926 500882             2       8888882                             2       2        0004004605 202302800
01000069040523101072022210521121124191960025000142       0720241   600005ACE  0300000500000202       2        00045630991202302900
01000069810216301042020202616 40088191960030000412       8888881  1200005ACE  0300000400000302       2        0004481243 202302900
01000069820324001012021208096 50088175100030000322       8888881   260005AC   0400000600000002       2        0004481243 202302900
01000070040225601082023208092121188191960020000012       8888881   150005AC   0400000600000002       2        00036534251202302900
01000071060216101042019202611140060191960020000532       0420241  1020005ABC  0300200500000002       2        00033704631202302900
01000072040313502092023110141123324152560035000242       0920251   400005ACE  030000040000030100500002        00044034041202302900
01000073810417201122018202616 400882             2       8888882                             2       2        0004481243 202302900
01000074030225402092023208091121124191960020000242       0920251   600005AC   0400000600000002       2        00044100231202302900
01000075020715601012023310331140036191960040000082       0120261  1200005ACD  0300000500200002       2        00033704631202302900
01000076050314501092019210351140060151960020000482       0920241   900001A    1000000000000002       2        00056850271202302900
01000076060524501092019210091140060191960020000482       0920242                             2       2        00054769021202302900
01000077020223301092023204091123224191960020000002       0920252                             2       2        00056670101202302900
01000078030523502122022208091123136191960020000462       1220251   540005A    1000000000000002       2        00053104061202302900
01000079020224101112022204091122224191960020000102       1120241   950005AC   0500000500000002       10001150000053104061202302900
01000080040323401072019404091123460191960020000502       0720242                             2       2        00056670101202302900
01000081020223002012023204911121124191960020000082       0120251   600005A    1000000000000002       2        00048006811202302900
01000082030513301022023204911121336152130044280072       0220261   600005A    1000000000000002       2        00048889101202302900
010000830101135010920192089311234271345600400002711220212      2                             2       2        00054120442202302900
010000830202234010920192085211234271919600250002711220212      2                             2       2        00056083182202302900
01000084050522801022022204511123124191960020000192       0220241   600005AC   0400000600000002       2        00056083181202302900
01000085070223101082023210411123324191960020000012       0820251   150005ACE  0300000400000302       2        00056083181202302900
01000086810214101052019204836 50060193100060000522       0520241  2400001ABC  0300300400000002       2        0005507713 202302900
01000087080223701072023204091123524191960020000022       0720251   150005AC   0600000400000002       2        00052554071202302900
01000088040322601042019210524 222002             10420194      2                             2       2        00048558612202302900
01000089030322801062023110521121124191960020000032       0620252                             2       2        00048558611202302900
01000090030312402062023110921240006131500080000092       1220231   600005A    1000000000000002       2        00042125851202302900
01000091040312401032023104921210024162030030000062       0320251   300005A    1000000000000002       2        00050630121202302900
01000092020224002012023204521123224191960025000572       0120251  1200005AB   0500500000000002       2        00053776261202302900
01000093020225601062023208921121124191960020000032       0620251   300005A    1000000000000002       2        00045947001202302900
01000094020224101022022210921122224191960020000192       0220241   600005A    1000000000000002       2        00053776261202302900
01000095050323901012023204521140036153960060000082       0120261  1080001A    1000000000000002       2        00053776261202302900
010000960202242011120182035111233241919600150002411120202      2                             2       2        00046414032202302900
01000097020224502072023210111121324191960030000312       0720251   600001AC   0500000500000002       2        00047869241202302900
01000098020514805072023210091250006183030120000502       0120241  2400001ABC  0500200300000001020000010006000000049688291202302900
01000099020224301092019209511123360191960020000482       0920241   600001A    1000000000000002       2        00046414031202302900
01000100020213601022023204921123336151550025000072       0220261  1050001AC   0500000500000002       2        00043784071202302900
01000101020226302032019204611140060191960050000542       0320242                             2       2        00036215181202302900
01000102020225902092022204521123124152470020000122       0920241   500005A    1000000000000002       2        00036215181202302900
010001030202256020820192049211233361919600200003610820222      2                             2       2        00036215182202302900
01000104080725502012021304921121135191960025000562       1220231   200005A    1000000000000002       2        00036215181202302900
010001050202228010920212045211222241919600270002410920232      1   800005AC   075000025000000100120002        00045232471202302900
010001060101233010520191049211234441919600180004410120232      2                             2       2        00045232472202302900
010001070101130010320212049211233241515500270002410320232      2                             2       2        00046063782202302900
010001080406225011020191104111234361418200300003611020222      2       0                     2       2        00045232472202302900
01000109020824101012023108511122224191960030000082       0120251   300001A    1000000000000002       2        00046157961202302900
01000110010113201012020209614 214022             10320204      2                             2       2        00050162842202302900
01000111010126602022023309614 500062             10820234      2                             100300002        00044446002202302900
01000112020223601052023204521123524191960020000042       0520251   240001A    1000000000000002       2        00046157961202302900
01000113020225202012022202611140036191960025000502       0120251   750005AB   0500500000000002       10000950000046953881202302900
010001140305229011120182039211231571919600220005710820232      1   600005ABC  0500250250000001014000010000850000048583691202302900
010001150101144030220192106111214481933000800004010220232      2                             2       2        00046149212202302900
01000116020224401022020204911123546191960020000432       1220231   500005A    1000000000000002       2        00044813551202302900
01000117090323301092022104911123524191960020000122       0920241   500005A    1000000000000002       2        00047822871202302900
01000117100323101112022104911123524191960020000102       1120241   500005A    1000000000000002       2        00047822871202302900
01000118040323001102022110311110088141630100000112       8888881  1500005A    1000000000000002       2        00047822871202302900
010001190101138010420212106111233131714300200001310520222      2                             2       2        00046149212202302900
01000120060512601062023210531121336193250030000032       0620261   300001A    1000000000000002       2        00048060981202302900
01000121020223302092023204091123224191960030000242       0920251   700005A    1000000000000002       2        00047193631202302900
01000122020313102122022204751121236175100045000592       1220251   800005AC   0700000300000002       2        00048060981202302900
01000122030523201072023208524 212012             10820234      2                             100000002        00047193632202302900
01000122040611101072023101094 212012             10820234      2                             100000002        00049701372202302900
01000123050423001092023402521123324191550020000002       0920252                             2       2        00047193631202302900
01000124020423201122022102091123524191960020000092       1220241   600001A    1000000000000002       2        00047225091202302900
01000125030724701092022304111123124191960020000122       0920241   350005A    1000000000000002       2        00046218581202302900
01000126020223302082023204521123324191960025000252       0820251   100005A    1000000000000002       2        00047822871202302900
010001260607252020920213049211211241919600180004810920232      2                             100150002        00046218581202302900
01000127020223201042022209091123224191960019000172       0420241   600001A    1000000000000002       2        00047822871202302900
01000128050323502042022109521121124191960030000602       0420241   600005A    1000000000000002       2        00044813551202302900
01000129030314001042023202611121336181130050000052       0420261   710001ACE  0200000500000302       2        00053139461202302900
01000129040524001042023210091121336181130050000052       0420262                             2       2        00051601491202302900
01000129070514001022023208821121336181130050000072       0220262                             2       2        00053139461202302900
01000129080323901022023210241121336181130050000072       0220261  1200001AC   0100000900000002       10006000000051601491202302900
